cod-barra;nr-pedrep;nr-vol-ped;nome-transp;nr-linha;nr-pedido;nr-pedcli;nr-carga;it-codigo;nr-volume;nr-sequencia;cod-box;desc-item-1;desc-item-2;nome-emit;cidade;estado;dt-embarque;medida;volume;
00065028140008015751774001;ALEF COZINHA;215/352 ;PAESE LOGIST                                           ;45      ;5751774 ;5751774 ;327     ;650281 40008     ;1       ;1       ;M       ;PAINEL LINEAR RIPADO LARGO X596X21MM URBE    ;,385 M                                       ;MARQUISE PLANEJADOS LT;SAO PAULO          ;SP;03/05/24  ;,385 ;01/01;
00065028140008015751774002;ALEF COZINHA;216/352 ;PAESE LOGIST                                           ;45      ;5751774 ;5751774 ;327     ;650281 40008     ;1       ;2       ;M       ;PAINEL LINEAR RIPADO LARGO X596X21MM URBE    ;,385 M                                       ;MARQUISE PLANEJADOS LT;SAO PAULO          ;SP;03/05/24  ;,385 ;01/01;
00065028140008015751774003;ALEF COZINHA;217/352 ;PAESE LOGIST                                           ;45      ;5751774 ;5751774 ;327     ;650281 40008     ;1       ;3       ;M       ;PAINEL LINEAR RIPADO LARGO X596X21MM URBE    ;,385 M                                       ;MARQUISE PLANEJADOS LT;SAO PAULO          ;SP;03/05/24  ;,385 ;01/01;
00065028140008015751774004;ALEF COZINHA;214/352 ;PAESE LOGIST                                           ;45      ;5751774 ;5751774 ;327     ;650281 40008     ;1       ;4       ;M       ;PAINEL LINEAR RIPADO LARGO X596X21MM URBE    ;,511 M                                       ;MARQUISE PLANEJADOS LT;SAO PAULO          ;SP;03/05/24  ;,511 ;01/01;
00065028140008015766136005;KATIA COZINH;045/074 ;PAESE LOGIST                                           ;45      ;5766136 ;5766136 ;327     ;650281 40008     ;1       ;5       ;M       ;PAINEL LINEAR RIPADO LARGO X596X21MM URBE    ;,621 M                                       ;MARQUISE PLANEJADOS LT;SAO PAULO          ;SP;03/05/24  ;,621 ;01/01;
00065028140008015751774006;ALEF COZINHA;213/352 ;PAESE LOGIST                                           ;45      ;5751774 ;5751774 ;327     ;650281 40008     ;1       ;6       ;M       ;PAINEL LINEAR RIPADO LARGO X596X21MM URBE    ;,644 M                                       ;MARQUISE PLANEJADOS LT;SAO PAULO          ;SP;03/05/24  ;,644 ;01/01;
00065028140008015751774007;ALEF COZINHA;210/352 ;PAESE LOGIST                                           ;45      ;5751774 ;5751774 ;327     ;650281 40008     ;1       ;7       ;M       ;PAINEL LINEAR RIPADO LARGO X596X21MM URBE    ;,865 M                                       ;MARQUISE PLANEJADOS LT;SAO PAULO          ;SP;03/05/24  ;,865 ;01/01;
00065028140008015751774008;ALEF COZINHA;211/352 ;PAESE LOGIST                                           ;45      ;5751774 ;5751774 ;327     ;650281 40008     ;1       ;8       ;M       ;PAINEL LINEAR RIPADO LARGO X596X21MM URBE    ;,865 M                                       ;MARQUISE PLANEJADOS LT;SAO PAULO          ;SP;03/05/24  ;,865 ;01/01;
00065028140008015751774009;ALEF COZINHA;212/352 ;PAESE LOGIST                                           ;45      ;5751774 ;5751774 ;327     ;650281 40008     ;1       ;9       ;M       ;PAINEL LINEAR RIPADO LARGO X596X21MM URBE    ;,865 M                                       ;MARQUISE PLANEJADOS LT;SAO PAULO          ;SP;03/05/24  ;,865 ;01/01;
00065028140008015766136010;KATIA COZINH;044/074 ;PAESE LOGIST                                           ;45      ;5766136 ;5766136 ;327     ;650281 40008     ;1       ;10      ;M       ;PAINEL LINEAR RIPADO LARGO X596X21MM URBE    ;1,315 M                                      ;MARQUISE PLANEJADOS LT;SAO PAULO          ;SP;03/05/24  ;1,315;01/01;
